@id,@lon,@lat,name
473486155,21.3358436,41.0276133,
473903013,22.3350529,42.2032723,Turist
477199658,22.1759186,42.0011146,Кај Зоки
487181669,21.8309270,41.6849594,Македонија
496160455,20.6785228,41.1781482,Хотел Београд
497549478,22.8587642,41.7006280,Хотел Манастир
498771166,22.7381829,41.9135160,Одмаралиште Голак
499130715,20.7352972,41.6486816,Стопанска Банка
499130722,20.7390308,41.6499002,Макпетрол
526226418,20.8023400,41.0788322,Hotel BELVEDERE
553418341,21.4293538,41.9970243,
553418345,21.4294404,41.9968982,
553418347,21.4292967,41.9968437,
774791899,21.0134146,41.0896892,Китка
959317641,20.6481197,41.5924377,Хотел НЕДА - Галичник
1021423937,20.9713129,42.0094191,
1021426975,20.9717399,42.0092092,
1021426977,20.9715381,42.0089826,
1021426988,20.9711111,42.0091925,
1360100707,21.4191788,41.9949990,
1360100713,21.4192742,41.9950966,
1360100724,21.4192903,41.9950107,
1360100761,21.4191654,41.9950869,
1360107637,21.4161298,41.9953264,
1360107638,21.4159877,41.9952209,
1360107640,21.4160104,41.9953400,
1360107686,21.4161063,41.9952086,
1375310210,21.4386882,41.9995866,
1375310220,21.4073652,42.0020760,
1375310225,21.4387914,41.9991374,
1375310244,21.4385740,41.9991098,
1375310248,21.4076833,42.0017224,
1375310249,21.4384708,41.9995590,
1375310283,21.4074096,42.0017603,
1375310293,21.4073149,42.0018709,
1378197244,21.4401520,41.9801920,Hotel Orange Inn
1381642413,21.4249793,41.9801123,Хотел Турена
1381642430,21.4262323,41.9843835,Александар
1452855153,20.6246531,41.5898039,Хотел Туто
1499057720,21.4329531,41.9948912,Hotel City Central International
1535024672,21.4492002,41.9609527,
1535024676,21.4489159,41.9610843,
1535024677,21.4489864,41.9611870,
1535024678,21.4492869,41.9610594,
1577485214,21.3755273,42.0055458,Мрамор
1640353894,21.4138267,41.9904962,
1640353895,21.4139364,41.9905922,
1640353896,21.4140342,41.9905642,
1640353897,21.4139791,41.9904250,
1652734689,21.3980435,42.0155517,
1652734690,21.3976583,42.0156402,
1652734691,21.3980421,42.0156435,
1652734692,21.3976598,42.0155485,
1652735526,21.4028465,42.0138909,
1652735527,21.4027010,42.0141705,
1652735528,21.4026495,42.0139126,
1652735529,21.4028980,42.0141488,
1674951280,21.3354728,41.0287275,
1674951284,21.3356298,41.0287718,
1674951288,21.3354400,41.0287936,
1674951305,21.3355970,41.0288379,
1674951450,21.2970314,41.0380709,
1674951456,21.2967612,41.0380934,
1674951460,21.2970995,41.0385367,
1674951464,21.2968295,41.0385592,
1712662189,21.7557858,41.7782669,
1712662198,21.7553250,41.7780794,
1712662210,21.7558649,41.7783306,
1712662266,21.7556347,41.7783713,
1712662270,21.7554410,41.7785162,
1712662276,21.7557519,41.7784087,
1712662281,21.7550955,41.7782379,
1750138779,21.4247230,41.9986814,
1750138786,21.4243508,41.9986216,
1750138788,21.4245960,41.9987860,
1790784932,22.7556389,41.3829472,
1790784933,22.7555263,41.3829633,
