@id,@lon,@lat,name,stars,city,street
1000000474236912,21.3956509,42.0145106,Toptrade,3,Skopje,Skupi
1000000476186157,21.4784287,42.0037583,Макпетрол,2,Skopje,Alexander of Macedon Boulevard
1000000476186560,21.4804013,41.9964563,Детоил,4,Skopje,Перо Наков
1000000476217894,21.4507722,41.9960729,Макпетрол,3,Skopje,512
1000000476219178,21.4439566,41.9901388,Макпетрол,3,Skopje,Nikola Karev
1000000476397813,21.4438982,42.0163381,Макпетрол,0,Skopje,Ќемал Сејфула
1000000477491906,21.432442,42.0114115,Арка Петрол,4,Skopje,Македонско Косовска бригада
1000000519407228,21.48319,41.9841987,Макпетрол,2,Skopje,Булевар Февруарски Поход
1000000544831685,21.3764639,42.0062875,Макпетрол,4,Skopje,Boulevard Partizanski Odredi
1000000553740247,21.3743455,42.0073138,Макпетрол,0,Skopje,Boulevard Partizanski Odredi
1000000562196490,21.8793234,42.1600362,Wiena Petrol,2,Vojnik,A2
1000000572161827,21.5405552,41.3446399,Макпетрол,3,Prilep,Arhiepiskop Dositej
1000000608077965,20.8983331,41.7952571,Макпетрол,1,Gostivar,Jna
1000000668772478,21.3906161,42.0437329,Euro Activa,1,Brazda,Jadranska Magistrala
1000000669417568,21.4522517,41.9827125,Okta,3,Skopje,3 Makedonska Brigada
1000000669854115,21.334083,42.0071986,Макпетрол,4,Skopje,Αлександар Македонски
1000000670029742,21.4578041,41.9728871,Лукоил,1,Skopje,Boris Trajkovski
1000000670029743,21.4576157,41.9729932,Лукоил,1,Skopje,Boris Trajkovski
1000000670256650,21.5717248,41.9972473,Макпетрол,1,Ilinden,Улица 24
1000000670268660,21.3598896,42.0143583,NAS,0,Skopje,Шарпланинска
1000000670557057,21.4741731,41.9875819,Окта,0,Skopje,АСНОМ
1000000670584893,21.4669573,41.9784071,Макпетрол,1,Skopje,Блажо Орландиќ
1000000670584900,21.4659237,41.9790355,Макоил,0,Skopje,Srbija
1000000670821479,21.4041808,42.0323428,Макпетрол,1,Vizbegovo,Hasan Prishtina
1000000671323433,21.3997073,42.0151461,Мак Оил,1,Skopje,Skupi
1000000671343641,21.3716301,42.0100074,Лукоил,1,Skopje,Aco Shopov
