@id,@lon,@lat,name,4,city,street
3699303244,22.7772992,41.9671423,Валиум,0,Delchevo,bul. Makedonija
3724711085,20.9633055,42.0060772,Amaretta (Red&Black),3,Tetovo,Gjorče Petrov
3750783154,21.3921091,42.0038662,Play Cafe,0,Skopje,Љубљанска
3755532975,21.4127725,41.999411,Концепт37,1,Skopje,Franklin Ruzvelt
3782619849,22.705272,41.4404325,Национал,1,Robovo,A4
3826400436,20.8023447,41.1127823,Plan B,2,Ohrid,Partizanska
3826400441,20.8021988,41.1124655,Mojito,0,Ohrid,Кузман Јосифоски
3828431964,21.7829849,41.717722,Капри Кафе,3,Veles,Гоце Делчев
4059907155,21.4171739,41.9937283,Авантура,4,Skopje,Naroden Front
4154573089,20.9619853,41.999321,Riva Caffè,3,Tetovo,Илинденска
4161400696,22.5058453,41.886544,Pancir Cafe,4,Vinica,Кочо Рацин
4161427291,22.50587,41.8865523,Панцир Кафе,2,Vinica,Кочо Рацин
4183580089,21.6276146,41.9610488,Cakes & Bakes,1,Kjojlija,Friendship
4190199691,20.971694,42.0073312,Maroon Bar,0,Tetovo,Dervish Cara (JNA St)
4190204394,20.978648,41.8450656,Рина,2,Chegrane,R2233
4198944089,21.3862677,42.004606,Ch2pter,3,Skopje,Ljubljanska
4225448689,21.3990452,42.0151641,Tonnis Bakeri,0,Skopje,Skupi
4228828360,21.404147,42.0137478,Coffeeshop Company lounge,0,Skopje,Skupi
4229063003,20.9079995,41.7939504,Liquid,0,Gostivar,Brake Ginoski
4233194691,21.3418406,42.0433297,Makreshanki,2,Volkovo,Улица 31
4234144690,21.4168806,41.9984995,Belier,0,Skopje,Владимир Полежановски
4239355213,22.1932005,41.7370604,Тафката,3,Shtip,Marshal Tito St.
4240294389,22.1938869,41.73738,Vami Cafe 1,4,Shtip,Marshal Tito St.
4247226994,21.3910392,42.0048738,Juicy and Co,3,Skopje,Ljubljanska
4247663989,20.9049674,41.8009922,Dani,1,Gostivar,ul. Brake Ginoski
4267660937,20.989483,42.0040789,Aksaraj,2,Tetovo,R1203
4290842764,20.8982089,41.8060047,Чајџилница кај Басто,1,Debreshe,R1206
4290866991,20.9113126,41.7929887,Чајџилница кај Гоце ,2,Gostivar,Димитар Влахов
4304451302,21.4366103,41.9994358,Clique Bar,0,Skopje,Gradiste
4327921320,21.3981384,42.0033204,Prikazna,4,Skopje,Boulevard Partizanski Odredi
4338183694,20.8840093,41.8299622,Elfat,0,Zubovce,R1206
4338236490,20.8857573,41.8413949,Nebi,4,Galate,R1206
4356215591,22.1957213,41.7388923,Нова Кафе,1,Shtip,Vancho Prke St.
4363550889,22.1956835,41.7382123,Сајбер,4,Shtip,Marshal Tito St.
4375519489,21.4448074,41.9728434,Гет Кафе,1,Skopje,Hristo Tatarchev
4411037105,21.3355792,41.0288234,Millennium Cafe,1,Bitola,Широк Сокак
4411037106,21.3357344,41.0285753,Игучи,1,Bitola,Широк Сокак
4411107891,21.3359033,41.0285254,Ин Кафе,3,Bitola,Широк Сокак
4411125496,21.3359314,41.0284799,Portal 2 Cafe,2,Bitola,Широк Сокак
4414571689,21.3367381,41.0240108,Јагода,3,Bitola,Широк Сокак
4430465597,20.9518032,42.0012645,Беко Кафе,4,Tetovo,146
4433338390,20.7984934,41.116952,Çajtorja Luan,3,Ohrid,Goce Delcev
4450584489,20.9685294,41.8333963,Алфа,4,Chegrane,R2233
4470299291,21.0116539,41.0893491,Таверна Џез,2,Resen,Таше Милошевски
4480834091,21.7870287,41.7138225,Kafe slatkarnica Turist,4,Veles,Димитар Влахов
4484345091,22.5047905,41.140319,Бариста,3,Gevgelija,Marshal Tito
4502456690,20.9268824,41.9405207,Cine 501,4,Kamenjane,R1206
4502463689,20.9267987,41.9403239,Sharr 71,0,Kamenjane,R1206
4502488291,20.9277266,41.9427811,Mujo,4,Kamenjane,R1206
4511016243,21.2795514,42.0436939,БАМИЛА,3,Gorno Svilare,Street 1
4568492595,20.9103122,41.7926594,Kaçamaku,4,Gostivar,Ivo Lola Ribar
4571573990,21.7686668,41.7098459,Дома,4,Veles,Aleksandar Nestorov
4586018591,22.0113116,41.4358281,Лего,0,Kavadarci,Илинденска
4658223491,21.5137772,42.027601,Лав Фонтана,2,Stajkovci,Улица 6
4753448921,20.9713496,42.0075938,Garden,4,Tetovo,Dervish Cara (JNA St)
4753448923,20.959919,41.9916981,M House,3,Tetovo,Илинденска
4753449021,20.9718414,42.0073693,Barcode,1,Tetovo,Dervish Cara (JNA St)
4753449022,20.9721424,42.0072505,Tantra,1,Tetovo,Dervish Cara (JNA St)
4753449121,20.9602672,41.9913951,Ultra,4,Tetovo,Илинденска
4846704245,21.4271773,41.9954521,Крин,2,Skopje,Liberty Square
4854085029,20.9467534,41.9158317,саранда,4,Zherovjane,102
4866008921,20.9608123,41.992301,Ток 2000,2,Tetovo,Илинденска
4910578221,20.9791319,42.0088358,Симпл Кафе,2,Tetovo,Boris Kirdič St
4915241021,20.9740134,42.0100196,Репаблик Кафе,1,Tetovo,Boris Kidrič St
4954778523,21.041931,42.0609612,Елита Кафе,0,Slatino,R1203
