@id,@lon,@lat,name,stars,city,street
8807124420,21.3855189,42.0091204,Кај чичо 2,0,Skopje,Вич
8837787973,21.9437258,41.578961,Kaj лаки,0,Gradsko,8 Septemvri
8868720618,21.2626435,41.0345273,Villa Vista,1,Dihovo,R2331
8909816031,21.3366265,41.0266555,Буре,0,Bitola,Широк Сокак
8909816034,21.3365076,41.0273766,Равена,0,Bitola,Широк Сокак
8909816035,21.3371573,41.0270204,Корзо,3,Bitola,Elpida Karamandi
8910471474,21.3374821,41.0282053,Бела Куќа,3,Bitola,Dimitar Ilievski-Murato
8911858261,21.3157954,41.0245246,Качунка,2,Bitola,Narodni Heroi
8946930217,20.7579455,41.7026712,Lounge Bar Mavrovo,1,Mavrovi Anovi,R1202
8948359876,21.4542028,41.9866451,Equilibrium,0,Skopje,Rudi Chajevac
8990283203,21.3355359,41.0264068,Гала Гарден,1,Bitola,Tomaki Dimitrovski
9040234627,20.8048774,41.1130145,oTTo,3,Ohrid,Dimitar Vlahov
9062216725,21.7219653,42.1238452,Екслузив Бастион,0,Kumanovo,Biljanovska
9161046817,20.8000296,41.1182878,Kaj Tzitzo,0,Ohrid,Dejan Vojvoda
9200216340,21.4142957,42.0006689,Mexican street food,1,Skopje,Boulevard Partizanski Odredi
9200216346,21.4171233,41.9970867,Боко,3,Skopje,Костурски Херои
9200216723,20.791588,41.1108108,Potpes,2,Ohrid,Кочо Рацин
9265163562,21.423662,42.0053837,Кај Вршац,3,Skopje,Stoltemberg
9440442679,20.6800438,41.178411,Restaurant Centar - ZemZem,2,Struga,Први мај
9445634229,20.6983504,41.1709993,Restaurant Adenia,2,Struga,Партизанска
9445634230,20.6996057,41.1711366,Restaurant Matador,3,Struga,Партизанска
9603648439,20.9618653,41.5103113,Lounge Bar Avenue,3,Kichevo,Александар Македонски
9663187516,21.5232371,41.9935483,Кремисимо Трибина,1,Skopje,Улица 1640
9663199731,21.5230582,41.993367,Потковица,1,Skopje,Улица 1640
9689262317,21.3567749,41.202268,Кај Парчето,3,Ivanjevci,L50605
9851535957,22.1921625,41.7384344,Алберта,3,Shtip,Штипски Сокак
9874642665,20.9119548,41.2094971,Paradise Valley,0,Kuratica,
9890200401,20.5302246,41.5174697,Retro Pizza,0,Debar,
9905841611,20.9134685,40.9390885,Рива,2,Stenje,L50923
9907558809,21.2553585,41.0443234,Шатор,0,Trnovo,L50146
9907558810,21.2550956,41.0432027,Шумски Фенери,2,Trnovo,L50146
9919191701,21.7821824,41.7170787,International Palace,2,Veles,8-ми Септември
9945647417,20.7908287,41.1108868,Fisherman's House Kaneo,1,Ohrid,Кочо Рацин
9949665617,21.3370543,41.0302629,Lounge bar manaki,2,Bitola,Добривое Радосављевиќ
9969092317,21.398719,41.9952558,Ckoncko,3,Skopje,Yuri Gagarin
10067830817,22.4706069,41.6336665,Marfi,1,Radovish,Ул. Шампион
10114870391,21.5536637,41.3440486,Вршник,3,Prilep,Орде Тутески
10123614440,21.5548935,41.3453374,Арт,3,Prilep,Ристо Стојаноски
10127119023,21.5512733,41.343274,Бисер,3,Prilep,Кузман Јосифоски-Питу
10147053074,21.4232203,41.9998586,Baeggel,0,Skopje,Наум Наумовски Борче
10151360411,21.4250341,42.0005347,Mama,0,Skopje,Orce Nikolov
10162039517,21.4371301,42.0005187,Medo,1,Skopje,
10189563826,21.4119491,41.9941712,Бегера,1,Skopje,Franklin Ruzvelt
10196816323,21.4061316,41.9971516,Дрен,1,Gjorče Petrov Municipality,Атинска
10202493051,20.6742018,41.1776062,Хармес,3,Struga,Marshal Tito
10204019566,20.6794474,41.1781526,Roma 2,2,Struga,Ѓорѓи Ѓоргон
1000000032674255,21.4190485,41.992373,Конструкта,2,Skopje,Vasil Gjorgov
1000000032674402,21.4021847,41.9960058,Македонска куќа,2,Skopje,Митрополит Теодосиј Гологанов
1000000038255378,21.3405655,41.0173918,Император,3,Bitola,L50112
1000000038572955,21.3349568,41.0303546,Грне,1,Bitola,Magnolia Square
